Date,Open,High,Low,Close,Volume
24-Mar-17,255.70,263.89,255.01,263.16,5647253
23-Mar-17,255.39,257.67,253.30,254.78,3320245
22-Mar-17,251.56,255.07,250.51,255.01,4059297
21-Mar-17,262.83,264.80,250.24,250.68,6908554
20-Mar-17,260.60,264.55,258.82,261.92,3614294
17-Mar-17,264.00,265.33,261.20,261.50,6497496
16-Mar-17,262.40,265.75,259.06,262.05,7132153
15-Mar-17,257.00,261.00,254.27,255.73,5330806
14-Mar-17,246.11,258.12,246.02,258.00,7598446
13-Mar-17,244.82,246.85,242.78,246.17,3022625
10-Mar-17,246.21,246.50,243.00,243.69,3066272
9-Mar-17,247.63,248.66,243.00,244.90,3879293
8-Mar-17,247.00,250.07,245.32,246.87,3728649
7-Mar-17,251.92,253.89,248.32,248.59,3459470
6-Mar-17,247.91,251.70,247.51,251.21,3355500
3-Mar-17,251.33,251.90,249.00,251.57,2929234
2-Mar-17,249.71,253.28,248.27,250.48,3351833
1-Mar-17,254.18,254.85,249.11,250.02,4809488
28-Feb-17,244.19,251.00,243.90,249.99,6078145
27-Feb-17,248.17,248.36,242.01,246.23,11460810
24-Feb-17,252.66,258.25,250.20,257.00,8171626
23-Feb-17,264.00,264.66,255.56,255.99,14915249
22-Feb-17,280.31,283.45,272.60,273.51,8754975
21-Feb-17,275.45,281.40,274.01,277.39,5676747
17-Feb-17,265.80,272.89,264.15,272.23,6257149
16-Feb-17,277.60,280.00,268.50,268.95,7077322
15-Feb-17,280.00,282.24,276.44,279.76,4947856
14-Feb-17,279.03,287.39,278.61,280.98,7345224
13-Feb-17,270.74,280.79,270.51,280.60,7029605
10-Feb-17,269.79,270.95,266.11,269.23,3619739
9-Feb-17,266.25,271.18,266.15,269.20,7820222
8-Feb-17,257.35,263.36,256.20,262.08,3933014
7-Feb-17,258.19,260.00,256.42,257.48,4244775
6-Feb-17,251.00,257.82,250.63,257.77,3562517
3-Feb-17,251.91,252.18,249.68,251.33,2186723
2-Feb-17,248.34,252.42,247.71,251.55,2499775
1-Feb-17,253.05,253.20,249.05,249.24,3958829
31-Jan-17,249.24,255.89,247.70,251.93,4116104
30-Jan-17,252.53,255.29,247.10,250.63,3801074
27-Jan-17,251.38,253.00,248.52,252.95,3166336
26-Jan-17,254.29,255.74,250.75,252.51,3152123
25-Jan-17,257.31,258.46,251.80,254.47,5146361
24-Jan-17,250.00,254.80,249.65,254.61,4965451
23-Jan-17,245.85,250.89,245.50,248.92,6262938
20-Jan-17,245.46,246.00,243.01,244.73,4204275
19-Jan-17,247.25,248.68,240.75,243.76,7732303
18-Jan-17,236.65,239.71,235.58,238.36,3768967
17-Jan-17,236.70,239.96,234.37,235.58,4617522
13-Jan-17,230.00,237.85,229.59,237.75,6092960
12-Jan-17,229.06,230.70,225.58,229.59,3790229
11-Jan-17,229.07,229.98,226.68,229.73,3650825
10-Jan-17,232.00,232.00,226.89,229.87,3659955
9-Jan-17,228.97,231.92,228.00,231.28,3979484
6-Jan-17,226.93,230.31,225.45,229.01,5527893
5-Jan-17,226.42,227.48,221.95,226.75,5911695
4-Jan-17,214.75,228.00,214.31,226.99,11213471
3-Jan-17,214.86,220.33,210.96,216.99,5923254
30-Dec-16,216.30,217.50,211.68,213.69,4642620
29-Dec-16,218.56,219.20,214.12,214.68,4044968
28-Dec-16,221.53,223.80,217.20,219.74,3782456
27-Dec-16,214.88,222.25,214.42,219.53,5915732
23-Dec-16,208.00,213.45,207.71,213.34,4670464
22-Dec-16,208.22,209.99,206.50,208.45,3111108
21-Dec-16,208.45,212.23,207.41,207.70,5207622
20-Dec-16,203.05,209.00,202.50,208.79,4689071
19-Dec-16,202.49,204.45,199.84,202.73,3488071
16-Dec-16,198.08,202.59,197.60,202.49,3796889
15-Dec-16,198.41,200.74,197.39,197.58,3219567
14-Dec-16,198.74,203.00,196.76,198.69,4150927
13-Dec-16,193.18,201.28,193.00,198.15,6823884
12-Dec-16,192.80,194.42,191.04,192.43,2438876
9-Dec-16,190.87,193.84,190.81,192.18,2722505
8-Dec-16,192.05,192.50,189.54,192.29,3194148
7-Dec-16,186.15,193.40,185.00,193.15,5461851
6-Dec-16,185.52,186.58,182.68,185.85,3391622
5-Dec-16,182.51,188.89,182.51,186.80,4072239
2-Dec-16,182.88,184.88,180.00,181.47,4042324
1-Dec-16,188.25,188.53,181.00,181.88,5126401
30-Nov-16,191.00,191.89,187.50,189.40,3547104
29-Nov-16,195.56,196.73,189.50,189.57,4439256
28-Nov-16,195.48,199.35,194.55,196.12,4529182
25-Nov-16,193.64,197.24,193.64,196.65,2366098
23-Nov-16,190.61,195.64,189.00,193.14,4891893
22-Nov-16,185.84,191.47,183.71,191.17,5603361
21-Nov-16,185.04,188.89,184.41,184.52,4361043
18-Nov-16,190.65,193.00,185.00,185.02,5210347
17-Nov-16,183.49,189.49,182.11,188.66,4887067
16-Nov-16,182.65,184.73,181.21,183.93,3434437
15-Nov-16,182.78,186.43,182.05,183.77,3902018
14-Nov-16,188.00,188.25,178.19,181.45,6552205
11-Nov-16,184.24,188.88,183.00,188.56,3988504
10-Nov-16,191.05,191.61,180.42,185.35,6750341
9-Nov-16,186.88,192.00,183.95,190.06,8173065
8-Nov-16,193.79,197.49,191.26,194.94,3267580
7-Nov-16,193.59,194.29,190.05,193.21,3870112
4-Nov-16,189.00,193.46,185.96,190.56,5146043
3-Nov-16,189.00,191.47,187.04,187.42,2653023
2-Nov-16,190.05,192.70,187.50,188.02,4253382
1-Nov-16,198.04,198.50,188.10,190.79,7060036
31-Oct-16,202.49,202.49,195.81,197.73,4692273
28-Oct-16,204.00,205.32,199.83,199.97,4280141
27-Oct-16,211.34,213.70,201.65,204.01,13093744
26-Oct-16,201.00,203.19,200.10,202.24,5632841
25-Oct-16,202.90,204.69,201.20,202.34,2445014
24-Oct-16,201.00,203.95,200.25,202.76,2751562
21-Oct-16,198.60,201.57,197.41,200.09,2943402
20-Oct-16,202.12,203.00,197.05,199.10,5072877
19-Oct-16,199.74,206.66,198.06,203.56,6991183
18-Oct-16,195.99,199.47,193.26,199.10,5680475
17-Oct-16,197.05,198.39,192.00,193.96,4554080
14-Oct-16,200.66,201.43,196.30,196.51,4269850
13-Oct-16,200.50,200.90,197.05,200.24,2495413
